"Time (s)"	"Angular velocity (rad/s)"	"Acceleration (m/s^2)"
5.777485910E-1	1.185448998E-3	1.134179232E-2
1.079091364E0	1.346666341E-3	8.543080127E-3
1.580403620E0	1.389899315E-3	9.306322918E-3
2.081761652E0	1.094663573E-3	6.932116328E-3
2.583119685E0	1.222975039E-3	8.389958231E-3
3.084447200E0	9.534397092E-4	5.844003967E-3
3.585820490E0	1.126902171E-3	7.292915068E-3
4.337819392E0	1.729151558E-3	8.690630458E-3
4.839177424E0	5.016761885E-4	3.878775939E-3
5.340520198E0	3.821627407E-4	4.540027673E-3
6.092549616E0	2.588942078E-1	2.321438492E-2
6.593892390E0	5.988439391E-1	3.951963183E-2
7.095235163E0	1.027097788E0	4.774579508E-2
7.596593196E0	1.614990934E0	1.342768098E-1
8.097935969E0	2.182446879E0	2.421128268E-1
8.599278742E0	2.875061386E0	3.929457889E-1
9.100636774E0	3.534212384E0	5.767128135E-1
9.601969599E0	4.104187208E0	7.419405609E-1
1.010332763E1	4.737084268E0	9.456341456E-1
1.060467040E1	5.440594285E0	1.233369856E0
1.110601318E1	6.059305281E0	1.508150458E0
1.160735595E1	6.759175488E0	1.857288285E0
1.210869872E1	7.404840189E0	2.210299336E0
1.261005676E1	8.088239584E0	2.616078392E0
1.311141479E1	8.754829834E0	3.040659892E0
1.361274230E1	9.403675533E0	3.494422508E0
1.411408508E1	1.005575466E1	3.985752697E0
1.461544311E1	1.070163727E1	4.510271726E0
1.511680114E1	1.133499218E1	5.045324101E0
1.561814392E1	1.195639569E1	5.602362192E0
1.611948669E1	1.256665173E1	6.176743164E0
1.662084472E1	1.316343034E1	6.773986196E0
1.712220275E1	1.374386632E1	7.382226540E0
1.762353027E1	1.431434684E1	8.000795262E0
1.812488830E1	1.486899367E1	8.624288152E0
1.862623107E1	1.540732595E1	9.255217413E0
1.912757385E1	1.592484511E1	9.874304793E0
1.962891338E1	1.643063085E1	1.049745524E1
2.013027141E1	1.692621105E1	1.114028512E1
2.063162945E1	1.740495286E1	1.178174091E1
2.113297222E1	1.786962956E1	1.241143722E1
2.163433025E1	1.832029916E1	1.304903607E1
2.213568828E1	1.875496335E1	1.366295478E1
2.263701580E1	1.917959533E1	1.429069041E1
2.313837383E1	1.958653775E1	1.490429400E1
2.363973186E1	1.998160887E1	1.550090907E1
2.414107464E1	2.035848655E1	1.608624417E1
2.464240215E1	2.071790893E1	1.666429469E1
2.514376018E1	2.106622777E1	1.722969617E1
2.564510296E1	2.140051542E1	1.777538330E1
2.614646099E1	2.171622056E1	1.830757099E1
2.664780376E1	2.202435106E1	1.882961742E1
2.714916179E1	2.231895802E1	1.933845106E1
2.765048931E1	2.260343293E1	1.982189428E1
2.815184734E1	2.287288885E1	2.029736524E1
2.865320537E1	2.313432929E1	2.076766468E1
2.915454815E1	2.338512184E1	2.121590652E1
2.965591047E1	2.362642152E1	2.164821125E1
3.015725324E1	2.385792686E1	2.207519032E1
3.065861962E1	2.407666374E1	2.248417364E1
3.115997765E1	2.428414802E1	2.286494024E1
3.166132043E1	2.448280886E1	2.324960356E1
3.216266320E1	2.467191862E1	2.361071445E1
3.266400597E1	2.484857906E1	2.394881098E1
3.316537926E1	2.501765023E1	2.427686483E1
3.366670678E1	2.518000910E1	2.459956666E1
3.416806481E1	2.533432491E1	2.489340802E1
3.466940758E1	2.547906644E1	2.515967915E1
3.517075036E1	2.561564531E1	2.543597459E1
