"Time (s)"	"Angular velocity (rad/s)"	"Acceleration (m/s^2)"
5.543363710E-1	9.535451084E-4	1.603219930E-2
1.055709662E0	3.888382366E-4	3.672252001E-3
1.557082953E0	3.109442328E-4	4.303843988E-3
2.058486761E0	2.051774948E-4	4.057117450E-3
2.559860052E0	2.818562597E-4	2.519009073E-3
3.061263861E0	1.175717344E-1	2.167684526E-2
3.562637152E0	8.697164241E-1	2.624003236E-2
4.064010443E0	1.721592278E0	1.302393726E-1
4.565414252E0	2.542350231E0	2.930308547E-1
5.066787543E0	3.387409140E0	5.167041129E-1
5.568191351E0	4.129140018E0	7.529492210E-1
6.069564642E0	4.850918824E0	9.934428652E-1
6.570937933E0	5.599049278E0	1.308418142E0
7.072341742E0	6.295586756E0	1.636015831E0
7.573715033E0	6.995232628E0	2.007799864E0
8.075133458E0	7.671195279E0	2.393376501E0
8.576506749E0	8.329029774E0	2.798918949E0
9.077880040E0	8.976628734E0	3.241510879E0
9.579283848E0	9.602861154E0	3.690586090E0
1.008065714E1	1.022029401E1	4.179651894E0
1.058206095E1	1.081826379E1	4.675565897E0
1.108343424E1	1.140082435E1	5.178225608E0
1.208621134E1	1.250179250E1	6.208166863E0
1.258758463E1	1.302407465E1	6.733763978E0
1.308898844E1	1.352978793E1	7.271955804E0
1.359036173E1	1.402247927E1	7.806707403E0
1.409176554E1	1.449221246E1	8.329635315E0
1.459313883E1	1.494163415E1	8.855200527E0
1.509454264E1	1.533716395E1	9.325791945E0
1.559588541E1	1.462622271E1	8.494721487E0
1.609731974E1	1.344828841E1	7.197656596E0
1.659869303E1	1.243586092E1	6.156016502E0
1.710006632E1	1.217263965E1	5.902288673E0
1.760147013E1	1.202730222E1	5.762414210E0
1.810283907E1	1.188280611E1	5.622993194E0
1.860424288E1	1.173972350E1	5.488948994E0
1.910561617E1	1.160418879E1	5.362456522E0
1.960701998E1	1.147938137E1	5.250109307E0
2.010839327E1	1.135035641E1	5.139374879E0
2.060979708E1	1.122279451E1	5.033083369E0
2.111117037E1	1.110431144E1	4.927556362E0
2.161254366E1	1.098460156E1	4.825865664E0
2.211394747E1	1.087326753E1	4.732050498E0
2.261532076E1	1.076787738E1	4.641565103E0
2.311672457E1	1.066616476E1	4.551135218E0
2.361809786E1	1.055786066E1	4.455617162E0
2.411950167E1	1.045463542E1	4.372717087E0
2.462087496E1	1.035684412E1	4.295289721E0
